,,,,,,,,,,,,,,,,,,,,,,Destek Unusrları(1),sartları,Destek Unusrları sart 1,Destek Unusrları sart 2,Destek Unusrları sart 3,Destek Unusrları sart 4,Destek Unusrları sart 5,Destek Unusrları sart 6,Destek Unusrları sart 7,Destek Unusrları sart 8,sorgulamam seçimi,kapasite,kanun,yatırım konusu,iozsart,revize id,,GTIP No,BIRIMI,ADI OZELLIGI,kullanıcı mail,rol,kayıt tarihi,dogrulamaKodu,kodGecerlilikTarihi,onayDurumu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"030639900000 - DİĞER KABUKLU HAYVANLAR (CANLI, TAZE VEYA SOĞUTULMUŞ) VE KABUKLU HAYVANLARIN UN VE PELLETLERİ (TAZE VEYA SOĞUTULMUŞ)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"030699900000 - DİĞER KABUKLU HAYVANLAR İLE KABUKLU HAYVANLARIN UN VE PELLETLERİ; KURUTULMUŞ, TUZLANMIŞ, SALAMURA EDİLMİŞ, TÜTSÜLENMİŞ, BUHAR",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"030619900000 - DİĞER KABUKLU HAYVANLAR VE KABUKLU HAYVANLARIN UNLARI, KABA UNLARI VE PELLETLERİ (DONDURULMUŞ)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482369900000 - DİĞER KAĞIT VE KARTONDAN BARDAKLAR VB.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"482369100000 - DİĞER KAĞIT VE KARTONDAN TEPSİLER, TABAKLAR",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255159919 - DİĞER KAĞIT VE KARTONLAR; RULO, 40GR =<M2 <60 GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIVAN",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255259919 - DİĞER KAĞIT VE KARTONLAR; RULO, 60GR <= M2 <75GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIVAN",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255309919 - DİĞER KAĞIT VE KARTONLAR; RULO, 75GR <= M2 <80GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIVAN",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255909919 - DİĞER KAĞIT VE KARTONLAR; RULO, 80GR <= M2 <=150GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIV",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480258109900 - DİĞER KAĞIT VE KARTONLAR; RULO, M2 > 150GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIVANMAMIŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480256209900 - DİĞER KAĞIT VE KARTONLAR; TABAKA, 40GR =< M2 <=150GR, (KENARLARI 297 X 210 MM - (A4 BOYUTU)), MEKANİK/KİMYASAL-MEKANİK ELYAF ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480258909900 - DİĞER KAĞIT VE KARTONLAR; TABAKA, M2 > 150GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIVANMAMI",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"481190009000 - DİĞER KAĞIT, KARTON, SELÜLOZ VATKA VE SELÜLOZ LİF TABAKALARI",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"482390859900 - DİĞER KAĞIT, KARTON, SELÜLOZ VATKA VE SELÜLOZ LİF TABAKALARI VE BUNLARDAN DİĞER EŞYA",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480256809919 - DİĞER KAĞITLAR; TABAKA, 40GR =<M2 <=150 GR, KENARLARI <= 435MM VE <=297MM , MEKANİK/KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYA",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842010890000 - DİĞER KALENDERLER VE DİĞER HADDE MAKİNELERİ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680229001000 - Diğer kalkerli taşlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680292000000 - Diğer kalkerli taşlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680292000000 - Diğer kalkerli taşlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680229001000 - Diğer kalkerli taşlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251820000019 - Diğer kalsine dolomitler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283526000000 - Diğer kalsiyum fosfatlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283526000000 - Diğer kalsiyum fosfatlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282590190019 - DİĞER KALSİYUM HİDROKSİT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282810000019 - DİĞER KALSİYUM HİPOKLORİTLER,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170114100000 - DİĞER KAMIŞ ŞEKERİ; RAFİNE EDİLECEK OLANLAR (KATI HALDE),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170114900000 - DİĞER KAMIŞ ŞEKERİ; RAFİNE EDİLECEK OLANLAR HARİÇ (KATI HALDE),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630690000000 - DİĞER KAMP EŞYASI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701972000000 - Diğer kapalı mensucat,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701972000000 - Diğer kapalı mensucat,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950611800000 - DİĞER KAR KAYAKLARI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"840820510000 - DİĞER KARA TAŞITLARI İÇİN DİZEL VEYA YARI DİZEL MOTORLAR (8701.10, 8703, 8704, 8705 POZİSYONLARINDAKİ MONTAJ SANAYİİ İÇİN HAR",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"840820550000 - DİĞER KARA TAŞITLARI İÇİN DİZEL VEYA YARI DİZEL MOTORLAR (8701.10, 8703, 8704, 8705 POZİSYONLARINDAKİ MONTAJ SANAYİİ İÇİN HAR",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"840820570000 - DİĞER KARA TAŞITLARI İÇİN DİZEL VEYA YARI DİZEL MOTORLAR (8701.10, 8703, 8704, 8705 POZİSYONLARINDAKİ MONTAJ SANAYİİ İÇİN HAR",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"840820990000 - DİĞER KARA TAŞITLARI İÇİN DİZEL VEYA YARI DİZEL MOTORLAR (8701.10, 8703, 8704, 8705 POZİSYONLARINDAKİ MONTAJ SANAYİİ İÇİN HAR",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"481690009000 - DİĞER KARBON KAĞIDI, DİĞER KOPYA VE TRANSFER KAĞITLARI VE OFSET LEVHALAR",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481690001900 - DİĞER KARBON KAĞITLARI VE BENZERİ DİĞER KOPYA KAĞITLARI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481690001100 - DİĞER KARBON KAĞITLARI VE BENZERİ DİĞER KOPYA KAĞITLARI; EMDİRİLMİŞ VEYA BOYANMIŞ OLANLAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280300009019 - DİĞER KARBON KARALARI VE DİĞER ŞEKİLLERDE KARBON,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283699179019 - DİĞER KARBONATLAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"292090101919 - DİĞER KARBONİK ESTERLER VE TUZLARI VE BUNLARIN HALOJENLENMİŞ, SÜLFOLANMIŞ, NİTROLANMIŞ VEYA NİTROZOLANMIŞ TÜREVLERİ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284990900000 - DİĞER KARBÜRLER,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400599009000 - DİĞER KARIŞTIRILMIŞ KAUÇUK (VULKANİZE EDİLMEMİŞ); İLK ŞEKİLLERDE, LEVHA, TABAKA VEYA ŞERİT HALİNDE",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220830710000 - DİĞER KARIŞTIRILMIŞ VİSKİ: MUHTEVASI <= 2 LİTRE, İSKOÇ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220830790000 - DİĞER KARIŞTIRILMIŞ VİSKİ: MUHTEVASI > 2 LİTRE, İSKOÇ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"030636900000 - DİĞER KARİDESLER; CANLI, TAZE VEYA SOĞUTULMUŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030617990000 - DİĞER KARİDESLER; DONDURULMUŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"030695900000 - DİĞER KARİDESLER; İŞLEM GÖRMÜŞ (KURUTULMUŞ, TUZLANMIŞ, SALAMURA EDİLMİŞ, TÜTSÜLENMİŞ, BUHARDA VEYA SUDA PİŞİRİLMİŞ)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255255019 - DİĞER KARTON; RULO, 60GR <= M2 <75GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIVANMAMIŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255155019 - DİĞER KARTONLAR; RULO, 40GR =<M2 <60 GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIVANMAMIŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255305019 - DİĞER KARTONLAR; RULO, 75GR <= M2 <80GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIVANMAMIŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480255905019 - DİĞER KARTONLAR; RULO, 80GR <= M2 <=150GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIVANMAMIŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480258105019 - DİĞER KARTONLAR; RULO, M2 > 150GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIVANMAMIŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480256805019 - DİĞER KARTONLAR; TABAKA, 40GR =<M2<=150 GR, KENARLARI <= 435MM VE <=297MM , MEKANİK/KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYA",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480258905019 - DİĞER KARTONLAR; TABAKA, M2 > 150GR, MEKANİK VEYA KİMYASAL-MEKANİK İŞLEMLE ELDE EDİLEN ELYAF ORANI <= %10, SIVANMAMIŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901839000029 - DİĞER KATETERLER,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"392190600019 - DİĞER KATILMA POLİMERİZASYONU ÜRÜNLERİNDEN DİĞER LEVHA, YAPRAK, FİLM, FOLYO, ŞERİTLER",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"391690500019 - DİĞER KATILMA POLİMERİZASYONU ÜRÜNLERİNDEN ENİNE KESİTİNİN EN GENİŞ YERİ 1 MM Yİ GEÇEN MONOFİLLER, İNCE VE KALIN ÇUBUKLAR VE ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"392099590000 - DİĞER KATILMA POLİMERİZASYONU ÜRÜNLERİNDEN LEVHA, PLAKA, ŞERİT, FİLM, FOLYO VE ŞERİTLER; GÖZENEKSİZ, MESNETSİZ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854060000000 - Diğer katod ışınlı tüpler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854060000000 - Diğer katod ışınlı tüpler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200819190017 - Diğer kavrulmuş kabuksuz fındık,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200819950017 - Diğer kavrulmuş kabuksuz fındık,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200819190017 - Diğer kavrulmuş kabuksuz fındık,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950611800000 - DİĞER KAR KAYAKLARI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350110900000 - Diğer kazeinler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350110900000 - Diğer kazeinler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"560229000019 - DİĞER KEÇE (DOKUMAYA ELVERİŞLİ DİĞER MADDELERDEN); EMDİRİLMEMİŞ, SIVANMAMIŞ, KAPLANMAMIŞ VEYA LAMİNE EDİLMEMİŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"560229000011 - DİĞER KEÇE (KABA HAYVAN KILLARINDAN); EMDİRİLMEMİŞ, SIVANMAMIŞ, KAPLANMAMIŞ VEYA LAMİNE EDİLMEMİŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"560221000000 - DİĞER KEÇE (YÜN VE İNCE HAYVAN KILLARINDAN); EMDİRİLMEMİŞ, SIVANMAMIŞ, KAPLANMAMIŞ VEYA LAMİNE EDİLMEMİŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"560290000000 - DİĞER KEÇE; EMDİRİLMİŞ, SIVANMIŞ, KAPLANMIŞ VEYA LAMİNE EDİLMİŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650100009019 - DİĞER KEÇEDEN DİSKLER VE ÜSTÜVANELER,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650100001019 - DİĞER KEÇEDEN ŞAPKA TASLAKLARI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410622900000 - DİĞER KEÇİ VE OĞLAK DABAKLAMA YAPILMIŞ CRUST (ARA KURUTMALI) POST VE DERİLERİ; YÜNÜ VEYA KILI ALINMIŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091099330000 - DİĞER KEKİKLER; EZİLMEMİŞ VE ÖĞÜTÜLMEMİŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294200000019 - Diğer ketenler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294200000019 - Diğer ketenler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"510111009000 - DİĞER KIRKMA YAPAĞI, KARDE EDİLMEMİŞ VEYA TARANMAMIŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"510121009000 - DİĞER KIRKMA YÜN; YIKANMIŞ, KARBONİZE EDİLMEMİŞ, KARDE EDİLMEMİŞ VEYA TARANMAMIŞ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030489290000 - DİĞER KIRMIZI BALIK FİLETOLARI; DONDURULMUŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030389390000 - DİĞER KIRMIZI BALIK; DONDURULMUŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030289390000 - DİĞER KIRMIZI BALIK; TAZE VEYA SOĞUTULMUŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711419000019 - DİĞER KIYMETLİ METALLERDEN KUYUMCU EŞYASI VE AKSAMI; KIYMETLİ METALLERLE KAPLANMIŞ VEYA YALDIZLANMIŞ OLSUN OLMASIN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711319000019 - DİĞER KIYMETLİ METALLERDEN MÜCEVHERCİ EŞYASI VE AKSAMI; KIYMETLİ METALLERLE KAPLANMIŞ VEYA YALDIZLANMIŞ OLSUN OLMASIN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711590000029 - DİĞER KIYMETLİ METALLERDEN VEYA KIYMETLİ METALLERLE KAPLAMA METALLERDEN DİĞER EŞYA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"711299009000 - DİĞER KIYMETLİ METALLERİN VEYA DİĞER KIYMETLİ METALLERLE KAPLAMA METALLERİN DÖKÜNTÜ, ARTIKLARI VE GERİ KAZANIM İÇİN BUNLARIN ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"821591009019 - DİĞER KIYMETLİ METALLERLE KAPLANMIŞ DİĞER MUTFAK VE SOFRA EŞYASI (KAŞIKLAR, ÇATALLAR, KEPÇELER, VB.)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710310000019 - DİĞER KIYMETLİ TAŞLAR; İŞLENMEMİŞ VEYA BASİT BİR ŞEKİLDE KESİLMİŞ VEYA KABACA YONTULMUŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710399000019 - DİĞER KIYMETLİ VE YARI KIYMETLİ TAŞLAR; BAŞKA ŞEKİLDE İŞLENMİŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830140900000 - ADİ METALLERDEN DİĞER KİLİTLER,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250840000000 - Diğer killer,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250840000000 - Diğer killer,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291469800019 - DİĞER KİNONLAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841590009009 - DİĞER KLİMA CİHAZLARINA AİT SPLİT SİSTEMLERİN DIŞ ÜNİTELERİ; SİVİL HAVA TAŞITLARINDA KULLANILMAYA MAHSUS OLANLAR HARİÇ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282919000019 - Diğer kloratlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282919000019 - Diğer kloratlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282890002900 - Diğer kloritler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282890002900 - Diğer kloritler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281219900000 - DİĞER KLORÜR VE OKSİKLORÜRLER,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282739859000 - DİĞER KLORÜRLER,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910129000000 - DİĞER KOL SAATLERİ; ZARFLARI KIYMETLİ METALLER VEYA KIYMETLİ METALLERLE KAPLANMIŞ METALLERDEN OLANLAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910229000000 - DİĞER KOL SAATLERİ; ZARFLARI KIYMETLİ METALLER VEYA KIYMETLİ METALLERLE KAPLANMIŞ METALLERDEN OLANLAR HARİÇ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391220110019 - DİĞER KOLLODYONLAR VE DİĞER SELOİDİN; PLASTİFİYE EDİLMEMİŞ (İLK ŞEKİLLERDE),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283720004013 - Diğer kompleks potasyum siyanürler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283720009000 - Diğer kompleks siyanürler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283720009000 - Diğer kompleks siyanürler,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283720003019 - Diğer kompleks sodyum siyanürleri,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"391690100019 - DİĞER KONDENSASYON VEYA ÇEVRİLME POLİMERİZASYONU ÜRÜNLERİNDEN ENİNE KESİTİNİN EN GENİŞ YERİ > 1MM OLAN MONOFİLLER, İNCE VE KA",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"392099280000 - DİĞER KONDENSASYON VEYA ÇEVRİLME POLİMERİZASYONU ÜRÜNLERİNDEN LEVHA, PLAKA, ŞERİT, FİLM, FOLYO VE ŞERİTLER; GÖZENEKSİZ, MESNE",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"392190550019 - DİĞER KONDENSASYON VEYA ÇEVRİLME POLİMERİZASYONU ÜRÜNLERİNDEN LEVHA, YAPRAK, FİLM, FOLYO, ŞERİTLER",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"410530900000 - DİĞER KOYUN VE KUZULARIN DABAKLANMIŞ VEYA CRUST (ARA KURUTMALI) DERİLERİ; YÜNÜ ALINMIŞ, KURU HALDE (CRUST)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843353900019 - DİĞER KÖK VE YUMRULAR İÇİN HASAT MAKİNALARI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071490200019 - DİĞER KÖK VE YUMRULAR; YÜKSEK ORANDA NİŞASTA VEYA İNÜLİN İÇEREN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060210900000 - DİĞER KÖKLENDİRİLMEMİŞ ÇELİK VE DALDIRMALAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030381900000 - DİĞER KÖPEK BALIKLARI; DONDURULMUŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030281800000 - DİĞER KÖPEK BALIKLARI; TAZE VEYA SOĞUTULMUŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030496900000 - DİĞER KÖPEK BALIKLARININ ETLERİ; DONDURULMUŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030456900000 - DİĞER KÖPEK BALIKLARININ ETLERİ; TAZE VEYA SOĞUTULMUŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030488190000 - DİĞER KÖPEK BALIKLARININ FİLETOLARI; DONDURULMUŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030447900000 - DİĞER KÖPEK BALIKLARININ FİLETOLARI; TAZE VEYA SOĞUTULMUŞ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"721420000019 - DEMİR/ALAŞIMSIZ ÇELİKTEN DİĞER KÖŞELİ ÇUBUKLAR; SICAK HADDELENİRKEN ÇENTİK, YİV, OLUK VB ŞEKİL BOZUKLUKLARI BULUNAN/HADDELEND",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721430000019 - Diğer köşeli çubuklar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500720190000 - DİĞER KREPLER; İPEK VEYA İPEK DÖKÜNTÜSÜ ORANI =>%85,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200819190039 - Diğer krokanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200819950039 - Diğer krokanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200819190039 - Diğer krokanlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284150009019 - Diğer kromatlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284150009019 - Diğer kromatlar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282490000019 - DİĞER KURŞUN OKSİTLERİ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080590000012 - Diğer kurutulmuş turunçgiller,,,,,,,,
